Pos,Driver,Nationality,Car,Pts,Year
22,Bill Vukovich VUK,USA,Kurtis Kraft Offenhauser,1.0,1952
1,Alberto AscariASC,ITA,Ferrari,34.5,1953
2,Juan Manuel FangioFAN,ARG,Maserati,27.5,1953
3,Nino FarinaFAR,ITA,Ferrari,26.0,1953
4,Mike HawthornHAW,GBR,Ferrari,19.0,1953
5,Luigi VilloresiVIL,ITA,Ferrari,17.0,1953
6,Jose Froilan GonzalezGON,ARG,Maserati,13.5,1953
7,Bill Vukovich VUK,USA,Kurtis Kraft Offenhauser,9.0,1953
8,Toulo de GraffenriedDEG,SUI,Maserati,7.0,1953
9,Felice BonettoBON,ITA,Maserati,6.5,1953
10,Art CrossCRO,USA,Kurtis Kraft Offenhauser,6.0,1953
11,Onofre MarimonMAR,ARG,Maserati,4.0,1953
11,Maurice TrintignantTRI,FRA,Gordini,4.0,1953
13,Oscar Alfredo GalvezGAL,ARG,Maserati,2.0,1953
13,Sam HanksHAN,USA,Kurtis Kraft Offenhauser,2.0,1953
13,Duane CarterCAR,USA,Kurtis Kraft Offenhauser,2.0,1953
13,Jack McGrathMCG,USA,Kurtis Kraft Offenhauser,2.0,1953
13,Hermann LangLAN,GER,Maserati,2.0,1953
18,Fred AgabashianAGA,USA,Kurtis Kraft Offenhauser,1.5,1953
18,Paul RussoRUS,USA,Kurtis Kraft Offenhauser,1.5,1953
1,Juan Manuel FangioFAN,ARG,Mercedes-Benz,42.0,1954
2,Jose Froilan GonzalezGON,ARG,Ferrari,25.1,1954
3,Mike HawthornHAW,GBR,Ferrari,24.6,1954
4,Maurice TrintignantTRI,FRA,Ferrari,17.0,1954
5,Karl KlingKLI,GER,Mercedes-Benz,12.0,1954
6,Bill Vukovich VUK,USA,Kurtis Kraft Offenhauser,8.0,1954
6,Hans HerrmannHER,GER,Mercedes-Benz,8.0,1954
8,Nino FarinaFAR,ITA,Ferrari,6.0,1954
8,Jimmy BryanBRY,USA,Kuzma Offenhauser,6.0,1954
8,Luigi MussoMUS,ITA,Maserati,6.0,1954
8,Roberto MieresMIE,ARG,Maserati,6.0,1954
12,Jack McGrathMCG,USA,Kurtis Kraft Offenhauser,5.0,1954
13,Stirling MossMOS,GBR,Maserati,4.1,1954
13,Onofre MarimonMAR,ARG,Maserati,4.1,1954
15,Robert ManzonMAN,FRA,Ferrari,4.0,1954
15,Sergio MantovaniMAN,ITA,Maserati,4.0,1954
17,Prince BiraBIR,THA,Maserati,3.0,1954
18,Elie BayolBAY,FRA,Gordini,2.0,1954
18,Mike NazarukNAZ,USA,Kurtis Kraft Offenhauser,2.0,1954
18,Andre PilettePIL,BEL,Gordini,2.0,1954
18,Luigi VilloresiVIL,ITA,Lancia,2.0,1954
18,Umberto MaglioliMAG,ITA,Ferrari,2.0,1954
23,Troy RuttmanRUT,USA,Kurtis Kraft Offenhauser,1.5,1954
23,Duane CarterCAR,USA,Kurtis Kraft Offenhauser,1.5,1954
25,Alberto AscariASC,ITA,Lancia,1.1,1954
26,Jean BehraBEH,FRA,Gordini,0.1,1954
1,Juan Manuel FangioFAN,ARG,Mercedes-Benz,40.0,1955
2,Stirling MossMOS,GBR,Mercedes-Benz,23.0,1955
3,Eugenio CastellottiCAS,ITA,Ferrari,12.0,1955
4,Maurice TrintignantTRI,FRA,Ferrari,11.3,1955
5,Nino FarinaFAR,ITA,Ferrari,10.3,1955
6,Piero TaruffiTAR,ITA,Mercedes-Benz,9.0,1955
7,Bob SweikertSWE,USA,Kurtis Kraft Offenhauser,8.0,1955
8,Roberto MieresMIE,ARG,Maserati,7.0,1955
9,Luigi MussoMUS,ITA,Maserati,6.0,1955
9,Jean BehraBEH,FRA,Maserati,6.0,1955
11,Karl KlingKLI,GER,Mercedes-Benz,5.0,1955
12,Jimmy DaviesDAV,USA,Kurtis Kraft Offenhauser,4.0,1955
13,Paul RussoRUS,USA,Kurtis Kraft Offenhauser,3.0,1955
13,Tony BettenhausenBET,USA,Kurtis Kraft Offenhauser,3.0,1955
13,Johnny ThomsonTHO,USA,Kuzma Offenhauser,3.0,1955
13,Paul FrereFRE,BEL,Ferrari,3.0,1955
17,Jose Froilan GonzalezGON,ARG,Ferrari,2.0,1955
17,Cesare PerdisaPER,ITA,Maserati,2.0,1955
17,Luigi VilloresiVIL,ITA,Lancia,2.0,1955
17,Carlos MenditeguyMEN,ARG,Maserati,2.0,1955
21,Umberto MaglioliMAG,ITA,Ferrari,1.3,1955
22,Hans HerrmannHER,GER,Mercedes-Benz,1.0,1955
22,Walt FaulknerFAU,USA,Kurtis Kraft Offenhauser,1.0,1955
22,Bill HomeierHOM,USA,Kurtis Kraft Offenhauser,1.0,1955
22,Bill Vukovich VUK,USA,Kurtis Kraft Offenhauser,1.0,1955
1,Juan Manuel FangioFAN,ARG,Ferrari,30.0,1956
2,Stirling MossMOS,GBR,Maserati,27.0,1956
3,Peter CollinsCOL,GBR,Ferrari,25.0,1956
4,Jean BehraBEH,FRA,Maserati,22.0,1956
5,Pat FlahertyFLA,USA,Watson Offenhauser,8.0,1956
6,Eugenio CastellottiCAS,ITA,Ferrari,7.5,1956
7,Sam HanksHAN,USA,Kurtis Kraft Offenhauser,6.0,1956
7,Paul FrereFRE,BEL,Ferrari,6.0,1956
7,Paco GodiaGOD,ESP,Maserati,6.0,1956
10,Jack FairmanFAI,GBR,Connaught Alta,5.0,1956
11,Mike HawthornHAW,GBR,BRM,4.0,1956
11,Luigi MussoMUS,ITA,Ferrari,4.0,1956
11,Don FreelandFRE,USA,Phillips Offenhauser,4.0,1956
11,Ron FlockhartFLO,GBR,Connaught Alta,4.0,1956
15,Johnnie ParsonsPAR,USA,Kuzma Offenhauser,3.0,1956
15,Harry SchellSCH,USA,Vanwall,3.0,1956
15,Alfonso de Portago DEP,ESP,Ferrari,3.0,1956
15,Cesare PerdisaPER,ITA,Maserati,3.0,1956
19,Olivier GendebienGEN,BEL,Ferrari,2.0,1956
19,Hermano da Silva RamosDAS,BRA,Gordini,2.0,1956
19,Dick RathmannRAT,USA,Kurtis Kraft Offenhauser,2.0,1956
19,Luigi VilloresiVIL,ITA,Maserati,2.0,1956
19,Horace Gould GOU,GBR,Maserati,2.0,1956
19,Louis RosierROS,FRA,Maserati,2.0,1956
25,Gerino Gerini GER,ITA,Maserati,1.5,1956
25,Chico LandiLAN,BRA,Maserati,1.5,1956
27,Paul RussoRUS,USA,Kurtis Kraft Novi,1.0,1956
1,Juan Manuel FangioFAN,ARG,Maserati,40.0,1957
2,Stirling MossMOS,GBR,Vanwall,25.0,1957
3,Luigi MussoMUS,ITA,Ferrari,16.0,1957
4,Mike HawthornHAW,GBR,Ferrari,13.0,1957
5,Tony BrooksBRO,GBR,Vanwall,11.0,1957
6,Masten GregoryGRE,USA,Maserati,10.0,1957
6,Harry SchellSCH,USA,Maserati,10.0,1957
8,Sam HanksHAN,USA,Epperly Offenhauser,8.0,1957
8,Peter CollinsCOL,GBR,Ferrari,8.0,1957
10,Jim RathmannRAT,USA,Epperly Offenhauser,7.0,1957
11,Jean BehraBEH,FRA,Maserati,6.0,1957
12,Stuart Lewis-Evans LEW,GBR,Vanwall,5.0,1957
12,Maurice TrintignantTRI,FRA,Ferrari,5.0,1957
14,Carlos MenditeguyMEN,ARG,Maserati,4.0,1957
14,Jimmy BryanBRY,USA,Kuzma Offenhauser,4.0,1957
14,Wolfgang von TripsVON,GER,Ferrari,4.0,1957
17,Paul RussoRUS,USA,Kurtis Kraft Novi,3.0,1957
18,Andy LindenLIN,USA,Kurtis Kraft Offenhauser,2.0,1957
18,Roy SalvadoriSAL,GBR,Cooper Climax,2.0,1957
20,Alfonso de Portago DEP,ESP,Ferrari,1.0,1957
20,Jose Froilan GonzalezGON,ARG,Ferrari,1.0,1957
20,Giorgio Scarlatti SCA,ITA,Maserati,1.0,1957
1,Mike HawthornHAW,GBR,Ferrari,42.0,1958
2,Stirling MossMOS,GBR,Vanwall,41.0,1958
3,Tony BrooksBRO,GBR,Vanwall,24.0,1958
4,Roy SalvadoriSAL,GBR,Cooper Climax,15.0,1958
5,Peter CollinsCOL,GBR,Ferrari,14.0,1958
5,Harry SchellSCH,USA,BRM,14.0,1958
7,Maurice TrintignantTRI,FRA,Cooper Climax,12.0,1958
7,Luigi MussoMUS,ITA,Ferrari,12.0,1958
9,Stuart Lewis-Evans LEW,GBR,Vanwall,11.0,1958
10,Phil HillHIL,USA,Ferrari,9.0,1958
10,Jean BehraBEH,FRA,BRM,9.0,1958
10,Wolfgang von TripsVON,GER,Ferrari,9.0,1958
13,Jimmy BryanBRY,USA,Epperly Offenhauser,8.0,1958
14,Juan Manuel FangioFAN,ARG,Maserati,7.0,1958
15,George AmickAMI,USA,Epperly Offenhauser,6.0,1958
16,Tony BettenhausenBET,USA,Epperly Offenhauser,4.0,1958
16,Johnny BoydBOY,USA,Kurtis Kraft Offenhauser,4.0,1958
18,Jack BrabhamBRA,AUS,Cooper Climax,3.0,1958
18,Cliff AllisonALL,GBR,Lotus Climax,3.0,1958
18,Jo BonnierBON,SWE,BRM,3.0,1958
21,Jim RathmannRAT,USA,Epperly Offenhauser,2.0,1958
1,Jack BrabhamBRA,AUS,Cooper Climax,31.0,1959
2,Tony BrooksBRO,GBR,Ferrari,27.0,1959
3,Stirling MossMOS,GBR,Cooper Climax,25.5,1959
4,Phil HillHIL,USA,Ferrari,20.0,1959
5,Maurice TrintignantTRI,FRA,Cooper Climax,19.0,1959
6,Bruce McLarenMCL,NZL,Cooper Climax,16.5,1959
7,Dan GurneyGUR,USA,Ferrari,13.0,1959
8,Jo BonnierBON,SWE,BRM,10.0,1959
8,Masten GregoryGRE,USA,Cooper Climax,10.0,1959
10,Rodger WardWAR,USA,Kurtis Kraft Offenhauser,8.0,1959
11,Jim RathmannRAT,USA,Watson Offenhauser,6.0,1959
12,Johnny ThomsonTHO,USA,Lesovsky Offenhauser,5.0,1959
12,Innes IrelandIRE,GBR,Lotus Climax,5.0,1959
12,Harry SchellSCH,USA,Cooper Climax,5.0,1959
15,Tony BettenhausenBET,USA,Epperly Offenhauser,3.0,1959
15,Olivier GendebienGEN,BEL,Ferrari,3.0,1959
17,Paul GoldsmithGOL,USA,Epperly Offenhauser,2.0,1959
17,Jean BehraBEH,FRA,Ferrari,2.0,1959
17,Cliff AllisonALL,GBR,Ferrari,2.0,1959
1,Jack BrabhamBRA,AUS,Cooper Climax,43.0,1960
2,Bruce McLarenMCL,NZL,Cooper Climax,34.0,1960
3,Stirling MossMOS,GBR,Lotus Climax,19.0,1960
4,Innes IrelandIRE,GBR,Lotus Climax,18.0,1960
5,Phil HillHIL,USA,Cooper Climax,16.0,1960
6,Olivier GendebienGEN,BEL,Cooper Climax,10.0,1960
6,Wolfgang von TripsVON,GER,Cooper Maserati,10.0,1960
8,Jim RathmannRAT,USA,Watson Offenhauser,8.0,1960
8,Richie GintherGIN,USA,Ferrari,8.0,1960
8,Jim ClarkCLA,GBR,Lotus Climax,8.0,1960
11,Tony BrooksBRO,GBR,Cooper Climax,7.0,1960
12,Cliff AllisonALL,GBR,Ferrari,6.0,1960
12,Rodger WardWAR,USA,Watson Offenhauser,6.0,1960
12,John SurteesSUR,GBR,Lotus Climax,6.0,1960
15,Paul GoldsmithGOL,USA,Epperly Offenhauser,4.0,1960
15,Graham HillHIL,GBR,BRM,4.0,1960
15,Willy MairesseMAI,BEL,Ferrari,4.0,1960
15,Jo BonnierBON,SWE,BRM,4.0,1960
19,Carlos MenditeguyMEN,ARG,Cooper Maserati,3.0,1960
19,Don BransonBRA,USA,Phillips Offenhauser,3.0,1960
19,Henry TaylorTAY,GBR,Cooper Climax,3.0,1960
19,Giulio CabiancaCAB,ITA,Cooper Castellotti,3.0,1960
23,Johnny ThomsonTHO,USA,Lesovsky Offenhauser,2.0,1960
24,Eddie JohnsonJOH,USA,Trevis Offenhauser,1.0,1960
24,Lucien BianchiBIA,BEL,Cooper Climax,1.0,1960
24,Ron FlockhartFLO,GBR,Cooper Climax,1.0,1960
24,Hans HerrmannHER,GER,Porsche,1.0,1960
1,Phil HillHIL,USA,Ferrari,34.0,1961
2,Wolfgang von TripsVON,GER,Ferrari,33.0,1961
3,Stirling MossMOS,GBR,Lotus Climax,21.0,1961
3,Dan GurneyGUR,USA,Porsche,21.0,1961
5,Richie GintherGIN,USA,Ferrari,16.0,1961
6,Innes IrelandIRE,GBR,Lotus Climax,12.0,1961
7,Jim ClarkCLA,GBR,Lotus Climax,11.0,1961
7,Bruce McLarenMCL,NZL,Cooper Climax,11.0,1961
9,Giancarlo BaghettiBAG,ITA,Ferrari,9.0,1961
10,Tony BrooksBRO,GBR,BRM Climax,6.0,1961
11,Jack BrabhamBRA,AUS,Cooper Climax,4.0,1961
11,John SurteesSUR,GBR,Cooper Climax,4.0,1961
13,Olivier GendebienGEN,BEL,Lotus Climax,3.0,1961
13,Jackie Lewis LEW,GBR,Cooper Climax,3.0,1961
13,Jo BonnierBON,SWE,Porsche,3.0,1961
13,Graham HillHIL,GBR,BRM Climax,3.0,1961
17,Roy SalvadoriSAL,GBR,Cooper Climax,2.0,1961
1,Graham HillHIL,GBR,BRM,42.0,1962
2,Jim ClarkCLA,GBR,Lotus Climax,30.0,1962
3,Bruce McLarenMCL,NZL,Cooper Climax,27.0,1962
4,John SurteesSUR,GBR,Lola Climax,19.0,1962
5,Dan GurneyGUR,USA,Porsche,15.0,1962
6,Phil HillHIL,USA,Ferrari,14.0,1962
7,Tony MaggsMAG,RSA,Cooper Climax,13.0,1962
8,Richie GintherGIN,USA,BRM,10.0,1962
9,Jack BrabhamBRA,AUS,Brabham Climax,9.0,1962
10,Trevor Taylor TAY,GBR,Lotus Climax,6.0,1962
11,Giancarlo BaghettiBAG,ITA,Ferrari,5.0,1962
12,Lorenzo BandiniBAN,ITA,Ferrari,4.0,1962
12,Ricardo Rodriguez ROD,MEX,Ferrari,4.0,1962
14,Willy MairesseMAI,BEL,Ferrari,3.0,1962
14,Jo BonnierBON,SWE,Porsche,3.0,1962
16,Innes IrelandIRE,GBR,Lotus Climax,2.0,1962
16,Carel Godin de Beaufort DEB,NED,Porsche,2.0,1962
18,Masten GregoryGRE,USA,Lotus BRM,1.0,1962
18,Neville LederleLED,RSA,Lotus Climax,1.0,1962
1,Jim ClarkCLA,GBR,Lotus Climax,54.0,1963
2,Graham HillHIL,GBR,BRM,29.0,1963
2,Richie GintherGIN,USA,BRM,29.0,1963
4,John SurteesSUR,GBR,Ferrari,22.0,1963
5,Dan GurneyGUR,USA,Brabham Climax,19.0,1963
6,Bruce McLarenMCL,NZL,Cooper Climax,17.0,1963
7,Jack BrabhamBRA,AUS,Brabham Climax,14.0,1963
8,Tony MaggsMAG,RSA,Cooper Climax,9.0,1963
9,Innes IrelandIRE,GBR,BRP BRM,6.0,1963
9,Lorenzo BandiniBAN,ITA,Ferrari,6.0,1963
9,Jo BonnierBON,SWE,Cooper Climax,6.0,1963
12,Gerhard MitterMIT,GER,Porsche,3.0,1963
12,Jim Hall HAL,USA,Lotus BRM,3.0,1963
14,Carel Godin de Beaufort DEB,NED,Porsche,2.0,1963
15,Trevor Taylor TAY,GBR,Lotus Climax,1.0,1963
15,Ludovico ScarfiottiSCA,ITA,Ferrari,1.0,1963
15,Jo SiffertSIF,SUI,Lotus BRM,1.0,1963
1,John SurteesSUR,GBR,Ferrari,40.0,1964
2,Graham HillHIL,GBR,BRM,39.0,1964
3,Jim ClarkCLA,GBR,Lotus Climax,32.0,1964
4,Lorenzo BandiniBAN,ITA,Ferrari,23.0,1964
4,Richie GintherGIN,USA,BRM,23.0,1964
6,Dan GurneyGUR,USA,Brabham Climax,19.0,1964
7,Bruce McLarenMCL,NZL,Cooper Climax,13.0,1964
8,Peter Arundell ARU,GBR,Lotus Climax,11.0,1964
8,Jack BrabhamBRA,AUS,Brabham Climax,11.0,1964
10,Jo SiffertSIF,SUI,Brabham BRM,7.0,1964
11,Bob AndersonAND,GBR,Brabham Climax,5.0,1964
12,Tony MaggsMAG,RSA,BRM,4.0,1964
12,Mike SpenceSPE,GBR,Lotus Climax,4.0,1964
12,Innes IrelandIRE,GBR,BRP BRM,4.0,1964
15,Jo BonnierBON,SWE,Brabham Climax,3.0,1964
16,Chris AmonAMO,NZL,Lotus BRM,2.0,1964
16,Maurice TrintignantTRI,FRA,BRM,2.0,1964
16,Walt HansgenHAN,USA,Lotus Climax,2.0,1964
19,Mike HailwoodHAI,GBR,Lotus BRM,1.0,1964
19,Phil HillHIL,USA,Cooper Climax,1.0,1964
19,Trevor Taylor TAY,GBR,BRP BRM,1.0,1964
19,Pedro RodriguezROD,MEX,Ferrari,1.0,1964
1,Jim ClarkCLA,GBR,Lotus Climax,54.0,1965
2,Graham HillHIL,GBR,BRM,40.0,1965
3,Jackie StewartSTE,GBR,BRM,33.0,1965
4,Dan GurneyGUR,USA,Brabham Climax,25.0,1965
5,John SurteesSUR,GBR,Ferrari,17.0,1965
6,Lorenzo BandiniBAN,ITA,Ferrari,13.0,1965
7,Richie GintherGIN,USA,Honda,11.0,1965
8,Mike SpenceSPE,GBR,Lotus Climax,10.0,1965
8,Bruce McLarenMCL,NZL,Cooper Climax,10.0,1965
10,Jack BrabhamBRA,AUS,Brabham Climax,9.0,1965
11,Denny HulmeHUL,NZL,Brabham Climax,5.0,1965
11,Jo SiffertSIF,SUI,Brabham BRM,5.0,1965
13,Jochen RindtRIN,AUT,Cooper Climax,4.0,1965
14,Pedro RodriguezROD,MEX,Ferrari,2.0,1965
14,Ronnie BucknumBUC,USA,Honda,2.0,1965
14,Richard AttwoodATT,GBR,Lotus BRM,2.0,1965
1,Jack BrabhamBRA,AUS,Brabham Repco,42.0,1966
2,John SurteesSUR,GBR,Cooper Maserati,28.0,1966
3,Jochen RindtRIN,AUT,Cooper Maserati,22.0,1966
4,Denny HulmeHUL,NZL,Brabham Repco,18.0,1966
5,Graham HillHIL,GBR,BRM,17.0,1966
6,Jim ClarkCLA,GBR,Lotus BRM,16.0,1966
7,Jackie StewartSTE,GBR,BRM,14.0,1966
8,Mike Parkes PAR,GBR,Ferrari,12.0,1966
8,Lorenzo BandiniBAN,ITA,Ferrari,12.0,1966
10,Ludovico ScarfiottiSCA,ITA,Ferrari,9.0,1966
11,Richie GintherGIN,USA,Honda,5.0,1966
12,Dan GurneyGUR,USA,Eagle Climax,4.0,1966
12,Mike SpenceSPE,GBR,Lotus BRM,4.0,1966
14,Bob BondurantBON,USA,Eagle Weslake,3.0,1966
14,Jo SiffertSIF,SUI,Cooper Maserati,3.0,1966
14,Bruce McLarenMCL,NZL,McLaren Ford,3.0,1966
17,John Taylor TAY,GBR,Brabham BRM,1.0,1966
17,Bob AndersonAND,GBR,Brabham Climax,1.0,1966
17,Peter Arundell ARU,GBR,Lotus BRM,1.0,1966
17,Jo BonnierBON,SWE,Cooper Maserati,1.0,1966
1,Denny HulmeHUL,NZL,Brabham Repco,51.0,1967
2,Jack BrabhamBRA,AUS,Brabham Repco,46.0,1967
3,Jim ClarkCLA,GBR,Lotus Ford,41.0,1967
4,John SurteesSUR,GBR,Honda,20.0,1967
4,Chris AmonAMO,NZL,Ferrari,20.0,1967
6,Pedro RodriguezROD,MEX,Cooper Maserati,15.0,1967
6,Graham HillHIL,GBR,Lotus Ford,15.0,1967
8,Dan GurneyGUR,USA,Eagle Climax,13.0,1967
9,Jackie StewartSTE,GBR,BRM,10.0,1967
10,Mike SpenceSPE,GBR,BRM,9.0,1967
11,John LoveLOV,RHO,Cooper Climax,6.0,1967
11,Jochen RindtRIN,AUT,Cooper Maserati,6.0,1967
11,Jo SiffertSIF,SUI,Cooper Maserati,6.0,1967
14,Bruce McLarenMCL,NZL,McLaren BRM,3.0,1967
14,Jo BonnierBON,SWE,Cooper Maserati,3.0,1967
16,Bob AndersonAND,GBR,Brabham Climax,2.0,1967
16,Mike Parkes PAR,GBR,Ferrari,2.0,1967
16,Chris IrwinIRW,GBR,BRM,2.0,1967
19,Ludovico ScarfiottiSCA,ITA,Eagle Weslake,1.0,1967
19,Guy Ligier LIG,FRA,Brabham Repco,1.0,1967
19,Jacky IckxICK,BEL,Cooper Maserati,1.0,1967
1,Graham HillHIL,GBR,Lotus Ford,48.0,1968
2,Jackie StewartSTE,GBR,Matra Ford,36.0,1968
3,Denny HulmeHUL,NZL,McLaren Ford,33.0,1968
4,Jacky IckxICK,BEL,Ferrari,27.0,1968
5,Bruce McLarenMCL,NZL,McLaren Ford,22.0,1968
6,Pedro RodriguezROD,MEX,BRM,18.0,1968
7,Jo SiffertSIF,SUI,Lotus Ford,12.0,1968
7,John SurteesSUR,GBR,Honda,12.0,1968
9,Jean-Pierre BeltoiseBEL,FRA,Matra,11.0,1968
10,Chris AmonAMO,NZL,Ferrari,10.0,1968
11,Jim ClarkCLA,GBR,Lotus Ford,9.0,1968
12,Jochen RindtRIN,AUT,Brabham Repco,8.0,1968
13,Richard AttwoodATT,GBR,BRM,6.0,1968
13,Johnny Servoz-Gavin SER,FRA,Matra Ford,6.0,1968
13,Jackie OliverOLI,GBR,Lotus Ford,6.0,1968
13,Ludovico ScarfiottiSCA,ITA,Cooper BRM,6.0,1968
17,Lucien BianchiBIA,BEL,Cooper BRM,5.0,1968
17,Vic Elford ELF,GBR,Cooper BRM,5.0,1968
19,Brian RedmanRED,GBR,Cooper BRM,4.0,1968
19,Piers CourageCOU,GBR,BRM,4.0,1968
21,Dan GurneyGUR,USA,McLaren Ford,3.0,1968
21,Jo BonnierBON,SWE,Honda,3.0,1968
23,Silvio Moser MOS,SUI,Brabham Repco,2.0,1968
23,Jack BrabhamBRA,AUS,Brabham Repco,2.0,1968
1,Jackie StewartSTE,GBR,Matra Ford,63.0,1969
2,Jacky IckxICK,BEL,Brabham Ford,37.0,1969
3,Bruce McLarenMCL,NZL,McLaren Ford,26.0,1969
4,Jochen RindtRIN,AUT,Lotus Ford,22.0,1969
5,Jean-Pierre BeltoiseBEL,FRA,Matra Ford,21.0,1969
6,Denny HulmeHUL,NZL,McLaren Ford,20.0,1969
7,Graham HillHIL,GBR,Lotus Ford,19.0,1969
8,Piers CourageCOU,GBR,Brabham Ford,16.0,1969
9,Jo SiffertSIF,SUI,Lotus Ford,15.0,1969
10,Jack BrabhamBRA,AUS,Brabham Ford,14.0,1969
11,John SurteesSUR,GBR,BRM,6.0,1969
12,Chris AmonAMO,NZL,Ferrari,4.0,1969
13,Richard AttwoodATT,GBR,Brabham Ford,3.0,1969
13,Vic Elford ELF,GBR,McLaren Ford,3.0,1969
13,Pedro RodriguezROD,MEX,Ferrari,3.0,1969
16,Johnny Servoz-Gavin SER,FRA,Matra Ford,1.0,1969
16,Silvio Moser MOS,SUI,Brabham Ford,1.0,1969
16,Jackie OliverOLI,GBR,BRM,1.0,1969
1,Jochen RindtRIN,AUT,Lotus Ford,45.0,1970
2,Jacky IckxICK,BEL,Ferrari,40.0,1970
3,Clay RegazzoniREG,SUI,Ferrari,33.0,1970
4,Denny HulmeHUL,NZL,McLaren Ford,27.0,1970
5,Jack BrabhamBRA,AUS,Brabham Ford,25.0,1970
5,Jackie StewartSTE,GBR,Tyrrell Ford,25.0,1970
7,Pedro RodriguezROD,MEX,BRM,23.0,1970
7,Chris AmonAMO,NZL,March Ford,23.0,1970
9,Jean-Pierre BeltoiseBEL,FRA,Matra,16.0,1970
10,Emerson FittipaldiFIT,BRA,Lotus Ford,12.0,1970
11,Rolf StommelenSTO,GER,Brabham Ford,10.0,1970
12,Henri PescaroloPES,FRA,Matra,8.0,1970
13,Graham HillHIL,GBR,Lotus Ford,7.0,1970
14,Bruce McLarenMCL,NZL,McLaren Ford,6.0,1970
15,Mario AndrettiAND,USA,March Ford,4.0,1970
